Time(s),Latitude(deg),Longitude(deg),Height(m),North(m/s),East(m/s),Down(m/s)
42.000000,51.509576,-0.161011,36.380853,-1.253092,-0.002533,-0.016903
42.500000,51.509579,-0.161011,38.389944,-1.248841,0.015908,0.011823
43.000000,51.509574,-0.161042,35.752203,-1.261542,0.021624,-0.079998
43.500000,51.509576,-0.161020,33.514026,-1.220547,-0.005055,-0.013134
44.000000,51.509543,-0.160995,38.968307,-1.240127,-0.024629,-0.008308
44.500000,51.509575,-0.161004,37.101994,-1.235249,0.003587,-0.027882
45.000000,51.509535,-0.160978,34.838267,-1.260452,0.025838,0.027246
45.500000,51.509547,-0.160991,34.720832,-1.256269,-0.022875,0.023964
46.000000,51.509546,-0.161056,30.449892,-1.262493,0.007886,0.023469
46.500000,51.509539,-0.161032,37.742961,-1.209163,-0.043507,0.028248
47.000000,51.509531,-0.161030,38.417926,-1.268884,-0.028799,0.030962
47.500000,51.509523,-0.161022,37.121628,-1.237612,-0.029727,-0.070197
48.000000,51.509516,-0.161045,32.333508,-1.252046,-0.030482,-0.014193
48.500000,51.509496,-0.160987,35.088584,-1.273102,0.004864,-0.020954
49.000000,51.509517,-0.161049,32.663698,-1.236249,-0.031634,-0.022589
49.500000,51.509521,-0.161044,34.530747,-1.264297,0.041144,-0.078769
50.000000,51.509511,-0.161038,36.268392,-1.275668,-0.003569,-0.017522
50.500000,51.509501,-0.161047,39.517342,-1.245336,0.016573,-0.039889
51.000000,51.509481,-0.161055,35.027880,-1.285087,0.003370,-0.054279
51.500000,51.509476,-0.160982,38.243144,-1.249871,0.008525,-0.011707
52.000000,51.509487,-0.161023,33.863693,-1.238580,0.019396,-0.033116
52.500000,51.509468,-0.161000,31.424848,-1.240550,0.005715,-0.028345
53.000000,51.509462,-0.161014,36.600275,-1.237327,-0.011023,-0.056980
53.500000,51.509437,-0.161046,29.611151,-1.271375,0.006927,0.046268
54.000000,51.509465,-0.161035,34.355438,-1.260489,-0.009747,0.033792
54.500000,51.509428,-0.160971,39.119527,-1.262342,-0.007856,0.050126
55.000000,51.509434,-0.161014,39.931393,-1.274140,0.002563,0.020801
55.500000,51.509441,-0.161009,39.922016,-1.239950,0.027993,0.023582
56.000000,51.509422,-0.161030,38.972988,-1.266942,-0.010516,0.034753
56.500000,51.509434,-0.161013,38.261207,-1.240741,0.017473,0.049816
57.000000,51.509427,-0.161030,32.895845,-1.243295,0.005080,0.024377
57.500000,51.509403,-0.161046,33.631838,-1.253646,0.036348,0.023752
58.000000,51.509420,-0.161007,34.252811,-1.265008,0.070124,-0.019063
58.500000,51.509415,-0.161050,36.865632,-1.258662,0.024822,0.051031
59.000000,51.509387,-0.161032,34.236700,-1.275915,0.009979,0.032200
59.500000,51.509395,-0.161000,40.939702,-1.252842,0.020004,0.048935
60.000000,51.509363,-0.161006,36.188453,-1.265566,0.020073,0.011626
60.500000,51.509384,-0.161010,38.295756,-1.254630,-0.008665,-0.005111
61.000000,51.509375,-0.161033,37.498720,-1.238714,-0.030488,0.013193
61.500000,51.509373,-0.161064,37.121296,-1.238300,-0.037540,0.027336
62.000000,51.509348,-0.161043,30.737947,-1.258072,-0.025481,-0.020118
62.500000,51.509350,-0.160988,38.507081,-1.263310,-0.004889,-0.001760
63.000000,51.509354,-0.161037,35.688045,-1.246793,-0.038264,0.006964
63.500000,51.509349,-0.161032,38.833503,-1.282896,-0.001413,-0.026471
64.000000,51.509320,-0.161031,35.066651,-1.244042,-0.039787,-0.033379
64.500000,51.509331,-0.161034,35.379377,-1.236843,-0.017238,-0.032546
