Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
58.500000,50.422254,-3.587222,-19.963488,-0.007543
59.000000,50.422164,-3.587222,-20.024680,-0.003857
59.500000,50.422074,-3.587222,-19.979848,-0.017668
60.000000,50.421984,-3.587222,-20.002846,0.000684
60.500000,50.421894,-3.587222,-19.945403,0.003249
61.000000,50.421804,-3.587222,-20.032416,0.002488
61.500000,50.421714,-3.587222,-20.033729,0.009008
62.000000,50.421623,-3.587218,-19.986562,0.639525
62.500000,50.421534,-3.587209,-19.946298,1.606637
63.000000,50.421444,-3.587194,-19.830670,2.627315
63.500000,50.421355,-3.587172,-19.684777,3.607248
64.000000,50.421267,-3.587143,-19.448952,4.574995
64.500000,50.421180,-3.587107,-19.227685,5.567378
65.000000,50.421094,-3.587063,-18.906491,6.523497
65.500000,50.421011,-3.587013,-18.553120,7.465639
66.000000,50.420928,-3.586956,-18.177226,8.363363
66.500000,50.420847,-3.586894,-17.727301,9.272547
67.000000,50.420769,-3.586825,-17.299933,10.014997
67.500000,50.420691,-3.586754,-17.305932,9.995068
68.000000,50.420613,-3.586684,-17.347920,10.018483
68.500000,50.420535,-3.586613,-17.345909,10.008290
69.000000,50.420457,-3.586542,-17.361856,10.004322
69.500000,50.420379,-3.586471,-17.308488,10.004434
70.000000,50.420301,-3.586401,-17.346164,9.995458
70.500000,50.420223,-3.586330,-17.296412,10.008640
71.000000,50.420146,-3.586259,-17.319511,10.027370
71.500000,50.420067,-3.586189,-17.297095,10.007761
72.000000,50.419990,-3.586118,-17.316842,10.000269
72.500000,50.419912,-3.586047,-17.314061,10.001419
73.000000,50.419834,-3.585977,-17.335092,10.033411
73.500000,50.419756,-3.585906,-17.322861,9.987053
74.000000,50.419678,-3.585836,-17.345875,10.020873
74.500000,50.419600,-3.585766,-17.329728,10.013771
75.000000,50.419522,-3.585695,-17.340893,9.999638
75.500000,50.419444,-3.585625,-17.335151,10.016166
76.000000,50.419366,-3.585554,-17.323616,9.998869
76.500000,50.419288,-3.585483,-17.332911,10.023218
77.000000,50.419211,-3.585411,-17.382881,10.044758
77.500000,50.419132,-3.585339,-17.789656,10.296511
78.000000,50.419051,-3.585266,-18.252460,10.541821
78.500000,50.418967,-3.585191,-18.717962,10.768105
79.000000,50.418882,-3.585114,-19.116987,11.027151
79.500000,50.418795,-3.585036,-19.572949,11.287229
80.000000,50.418706,-3.584956,-19.964470,11.531717
80.500000,50.418615,-3.584874,-20.410446,11.790587
81.000000,50.418523,-3.584790,-20.845270,12.029580
81.500000,50.418428,-3.584704,-21.282686,12.276571
82.000000,50.418331,-3.584617,-21.726812,12.551986
82.500000,50.418232,-3.584528,-22.176172,12.789885
83.000000,50.418131,-3.584437,-22.598721,13.032367
83.500000,50.418029,-3.584344,-23.028623,13.281764
84.000000,50.417924,-3.584250,-23.379603,13.514692
84.500000,50.417818,-3.584154,-23.894429,13.781296
85.000000,50.417710,-3.584055,-24.332570,14.050680
85.500000,50.417599,-3.583956,-24.768564,14.277674
86.000000,50.417487,-3.583854,-25.162472,14.519075
86.500000,50.417373,-3.583750,-25.617981,14.796613
87.000000,50.417257,-3.583646,-25.979321,15.005228
87.500000,50.417139,-3.583541,-25.983476,15.021179
88.000000,50.417023,-3.583435,-25.954267,15.006287
