Time(s),Latitude(deg),Longitude(deg),Damped Inst North(m/s),Damped Inst East(m/s)
51.000000,50.423590,-3.587062,-19.489211,1.078261
51.500000,50.423501,-3.587056,-20.049239,0.797810
52.000000,50.423410,-3.587052,-20.214532,0.309623
52.500000,50.423319,-3.587049,-20.514660,0.488636
53.000000,50.423227,-3.587050,-20.254422,-0.366321
53.500000,50.423136,-3.587054,-20.449630,-0.761719
54.000000,50.423044,-3.587054,-20.428424,0.570567
54.500000,50.422952,-3.587056,-20.282067,-1.064726
55.000000,50.422861,-3.587058,-20.543479,0.456694
55.500000,50.422769,-3.587056,-20.215440,0.066890
56.000000,50.422677,-3.587055,-20.587653,0.145462
56.500000,50.422586,-3.587052,-20.090177,0.618131
57.000000,50.422494,-3.587053,-20.712017,-0.628242
57.500000,50.422403,-3.587052,-20.097582,0.622463
58.000000,50.422311,-3.587053,-20.621012,-0.519056
58.500000,50.422219,-3.587053,-20.289373,0.257204
59.000000,50.422127,-3.587052,-20.498148,0.069962
59.500000,50.422035,-3.587054,-20.395795,-0.469970
60.000000,50.421944,-3.587050,-20.368337,1.339084
60.500000,50.421852,-3.587049,-20.325463,-0.836677
61.000000,50.421761,-3.587053,-20.355321,-0.264164
61.500000,50.421669,-3.587050,-20.455696,0.884077
62.000000,50.421578,-3.587042,-20.365909,1.310834
62.500000,50.421486,-3.587029,-20.448575,2.235184
63.000000,50.421395,-3.587013,-20.178716,2.332542
63.500000,50.421304,-3.586995,-20.244248,2.734947
64.000000,50.421213,-3.586970,-20.164318,3.905492
64.500000,50.421125,-3.586932,-19.252671,6.459498
65.000000,50.421038,-3.586886,-19.392333,6.643158
65.500000,50.420953,-3.586831,-18.374486,8.765144
66.000000,50.420870,-3.586769,-18.514997,8.675599
66.500000,50.420787,-3.586709,-18.668805,8.460391
67.000000,50.420707,-3.586639,-17.013996,10.997556
67.500000,50.420629,-3.586564,-17.686916,10.356016
68.000000,50.420549,-3.586494,-17.755378,9.841854
68.500000,50.420471,-3.586419,-17.155292,11.219786
69.000000,50.420393,-3.586341,-17.388764,10.846297
69.500000,50.420314,-3.586268,-17.696677,10.025999
70.000000,50.420235,-3.586197,-17.615857,10.306047
