Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
51.500000,50.423517,-3.587232,-19.864379,-0.005621
52.000000,50.423427,-3.587232,-19.953518,-0.011978
52.500000,50.423338,-3.587232,-19.996871,-0.007190
53.000000,50.423247,-3.587234,-20.003851,-0.015243
53.500000,50.423158,-3.587234,-20.003349,-0.000986
54.000000,50.423068,-3.587233,-20.011036,0.001790
54.500000,50.422978,-3.587233,-19.976106,-0.013476
55.000000,50.422889,-3.587233,-19.985070,-0.002602
55.500000,50.422799,-3.587233,-19.998038,0.000380
56.000000,50.422708,-3.587232,-20.014782,-0.009127
56.500000,50.422619,-3.587232,-20.019789,-0.004266
57.000000,50.422529,-3.587233,-19.987518,0.001055
57.500000,50.422440,-3.587232,-20.040158,0.005828
58.000000,50.422349,-3.587233,-20.014663,-0.002685
58.500000,50.422259,-3.587232,-19.959402,-0.004045
59.000000,50.422169,-3.587232,-20.022467,-0.005626
59.500000,50.422079,-3.587233,-19.976648,-0.018170
60.000000,50.421990,-3.587232,-20.000030,0.003736
60.500000,50.421900,-3.587232,-19.942929,-0.005765
61.000000,50.421810,-3.587232,-20.029846,0.008121
61.500000,50.421720,-3.587232,-20.031544,0.010832
62.000000,50.421631,-3.587229,-19.983710,0.633632
62.500000,50.421541,-3.587220,-19.943731,1.602088
63.000000,50.421452,-3.587205,-19.827275,2.623060
63.500000,50.421363,-3.587183,-19.682419,3.609223
64.000000,50.421275,-3.587153,-19.445172,4.580891
64.500000,50.421189,-3.587115,-19.222848,5.571920
65.000000,50.421103,-3.587073,-18.906308,6.517499
65.500000,50.421019,-3.587023,-18.549845,7.464811
66.000000,50.420936,-3.586967,-18.178422,8.354596
66.500000,50.420856,-3.586905,-17.725031,9.270409
67.000000,50.420777,-3.586835,-17.293576,10.020471
67.500000,50.420700,-3.586765,-17.307840,9.988465
68.000000,50.420622,-3.586696,-17.345361,10.016025
68.500000,50.420544,-3.586624,-17.343154,10.009475
69.000000,50.420466,-3.586554,-17.363134,9.996157
69.500000,50.420388,-3.586484,-17.308316,9.998726
70.000000,50.420310,-3.586414,-17.343549,9.995294
70.500000,50.420232,-3.586343,-17.294586,10.006548
71.000000,50.420154,-3.586273,-17.318209,10.022387
71.500000,50.420076,-3.586203,-17.295789,10.005593
72.000000,50.419999,-3.586131,-17.311022,10.003409
72.500000,50.419921,-3.586061,-17.314853,9.995544
73.000000,50.419843,-3.585991,-17.333341,10.031564
73.500000,50.419766,-3.585921,-17.320506,9.984007
74.000000,50.419688,-3.585850,-17.343324,10.022075
74.500000,50.419610,-3.585780,-17.326174,10.014969
75.000000,50.419532,-3.585710,-17.339956,9.997904
75.500000,50.419454,-3.585639,-17.331865,10.014523
76.000000,50.419376,-3.585568,-17.323375,9.997076
76.500000,50.419298,-3.585497,-17.331241,10.019299
77.000000,50.419220,-3.585427,-17.388424,10.032306
77.500000,50.419141,-3.585357,-17.789279,10.291457
78.000000,50.419060,-3.585282,-18.251423,10.543483
78.500000,50.418977,-3.585208,-18.719862,10.764224
79.000000,50.418891,-3.585131,-19.115739,11.027238
79.500000,50.418804,-3.585053,-19.572732,11.285823
80.000000,50.418716,-3.584973,-19.962213,11.536412
80.500000,50.418625,-3.584889,-20.407943,11.791321
81.000000,50.418532,-3.584806,-20.846447,12.027332
81.500000,50.418437,-3.584720,-21.281467,12.275313
82.000000,50.418340,-3.584633,-21.727432,12.548368
82.500000,50.418241,-3.584544,-22.172055,12.796693
83.000000,50.418141,-3.584452,-22.598315,13.028858
83.500000,50.418038,-3.584360,-23.027823,13.281779
84.000000,50.417934,-3.584266,-23.381389,13.508840
84.500000,50.417827,-3.584169,-23.891519,13.782770
85.000000,50.417719,-3.584071,-24.332905,14.046959
85.500000,50.417608,-3.583973,-24.770942,14.270808
86.000000,50.417497,-3.583870,-25.154875,14.527329
86.500000,50.417381,-3.583767,-25.622809,14.786361
87.000000,50.417265,-3.583663,-25.978296,15.002314
87.500000,50.417148,-3.583558,-25.979225,15.024743
88.000000,50.417033,-3.583451,-25.947275,15.008680
88.500000,50.416916,-3.583346,-25.972109,15.000291
89.000000,50.416799,-3.583241,-26.005675,15.003746
89.500000,50.416682,-3.583135,-25.987230,15.007771
90.000000,50.416565,-3.583030,-26.013876,15.010267
90.500000,50.416448,-3.582924,-25.976779,14.980093
91.000000,50.416332,-3.582819,-25.982417,15.000521
91.500000,50.416215,-3.582714,-25.992796,14.990584
92.000000,50.416098,-3.582608,-25.980847,15.008900
92.500000,50.415981,-3.582502,-26.005536,14.996843
93.000000,50.415864,-3.582399,-26.001815,14.979189
93.500000,50.415747,-3.582293,-25.970774,14.994000
94.000000,50.415631,-3.582186,-25.974433,15.023965
94.500000,50.415515,-3.582081,-25.960878,14.991419
95.000000,50.415398,-3.581975,-26.009361,15.000528
95.500000,50.415281,-3.581869,-25.989740,15.011229
96.000000,50.415164,-3.581764,-26.014615,14.987125
96.500000,50.415047,-3.581659,-25.971299,14.997078
97.000000,50.414931,-3.581554,-26.055978,14.907856
