Time(s),Latitude(deg),Longitude(deg),Height(m),North(m/s),East(m/s),Down(m/s)
0.000000,-2.575939,-67.417594,996.809260,-0.084942,199.652198,0.334380
1.000000,-2.575945,-67.415797,999.706761,-0.560058,199.850763,-2.300525
2.000000,-2.575960,-67.413991,998.461156,-1.332303,200.453992,0.022840
3.000000,-2.575956,-67.412208,994.491337,-0.201490,199.169738,2.442192
4.000000,-2.575955,-67.410410,994.271326,-0.030712,199.695802,1.065022
5.000000,-2.575956,-67.408600,999.158051,-0.089003,200.710973,-2.638574
6.000000,-2.575945,-67.406806,999.211413,0.766945,199.961751,-1.035320
7.000000,-2.575942,-67.405025,996.532548,0.434160,198.776429,1.269294
8.000000,-2.575950,-67.403215,996.465857,-0.365679,200.338087,0.517408
9.000000,-2.575957,-67.401409,999.859265,-0.579714,200.720986,-1.917953
10.000000,-2.575956,-67.399604,1002.535320,-0.201207,200.707293,-2.393552
11.000000,-2.575955,-67.397809,996.958869,0.010967,200.103652,2.556400
12.000000,-2.575965,-67.396017,997.551983,-0.658030,199.590303,0.594315
13.000000,-2.575960,-67.394214,995.748263,0.088815,200.202757,1.341764
14.000000,-2.575947,-67.392412,996.030268,0.923924,200.292790,0.328070
15.000000,-2.575951,-67.390613,999.518728,0.048573,200.169277,-2.048669
16.000000,-2.575951,-67.388826,997.203924,0.053152,199.315965,0.659444
17.000000,-2.575930,-67.386996,1003.818574,1.411565,201.925965,-3.866665
18.000000,-2.575945,-67.385202,1006.837808,-0.464542,200.440360,-3.344219
19.000000,-2.575940,-67.383434,1001.226221,0.158244,198.115503,2.218619
20.000000,-2.575942,-67.381650,997.554768,-0.058193,198.294289,3.117473
21.000000,-2.575947,-67.379846,997.601374,-0.343188,199.768003,1.146312
22.000000,-2.575977,-67.378036,994.786338,-2.213256,200.703787,2.179256
23.000000,-2.576033,-67.376247,993.854452,-4.724314,199.676103,1.399570
24.000000,-2.576106,-67.374432,996.537495,-6.789470,200.976654,-1.142622
25.000000,-2.576207,-67.372642,997.273804,-9.498296,199.828717,-0.894368
26.000000,-2.576326,-67.370846,998.019486,-11.791162,199.767610,-0.806270
27.000000,-2.576463,-67.369065,997.363041,-13.871159,198.757745,0.098693
28.000000,-2.576633,-67.367274,1000.578120,-16.954526,199.011020,-1.965511
29.000000,-2.576810,-67.365464,1003.134524,-18.556114,200.489938,-2.337210
30.000000,-2.577013,-67.363688,998.855291,-20.968438,198.658891,1.771369
31.000000,-2.577250,-67.361908,996.763637,-24.228904,198.181982,1.966156
32.000000,-2.577511,-67.360137,995.908323,-27.141442,197.481266,1.271349
33.000000,-2.577768,-67.358350,998.905420,-27.893510,198.236704,-1.386317
34.000000,-2.578065,-67.356579,999.393935,-30.978654,197.463798,-0.832544
35.000000,-2.578380,-67.354809,1000.148777,-33.414609,197.115028,-0.788563
36.000000,-2.578725,-67.353028,1002.788648,-36.349332,197.715400,-1.943739
37.000000,-2.579096,-67.351247,1005.637214,-39.261206,197.940247,-2.510599
38.000000,-2.579465,-67.349506,999.139994,-40.243213,195.254672,3.084517
39.000000,-2.579869,-67.347765,996.417748,-42.964223,194.281974,2.855048
40.000000,-2.580300,-67.346023,995.126371,-45.866304,193.961052,1.878751
41.000000,-2.580748,-67.344285,993.956456,-48.159252,193.552614,1.433827
42.000000,-2.581220,-67.342548,995.685630,-50.698464,193.350368,-0.536663
43.000000,-2.581702,-67.340814,997.497602,-52.327274,193.012730,-1.333737
44.000000,-2.582216,-67.339074,1001.126672,-55.140943,193.364372,-2.764928
45.000000,-2.582751,-67.337365,999.238895,-57.606834,191.326849,0.122956
46.000000,-2.583309,-67.335649,999.158510,-60.143804,190.992432,0.092155
47.000000,-2.583877,-67.333936,1001.712935,-61.870832,190.750663,-1.557348
48.000000,-2.584464,-67.332242,1002.455622,-63.753546,189.288697,-1.055250
49.000000,-2.585097,-67.330575,996.905395,-67.586678,186.888371,3.046550
50.000000,-2.585732,-67.328901,992.747402,-69.234072,186.401639,3.733164
51.000000,-2.586386,-67.327221,994.218667,-71.154064,186.706553,0.493689
52.000000,-2.587055,-67.325534,996.730604,-72.923661,187.254632,-1.379028
53.000000,-2.587751,-67.323861,998.560325,-75.493176,186.551671,-1.663567
54.000000,-2.588492,-67.322231,997.204073,-79.463890,183.269211,0.209292
55.000000,-2.589233,-67.320588,995.570972,-81.011075,182.984448,1.090019
56.000000,-2.589992,-67.318960,995.111548,-82.840939,181.752783,0.693719
57.000000,-2.590773,-67.317335,997.818903,-85.016651,181.152193,-1.424774
58.000000,-2.591563,-67.315712,997.765807,-86.492884,180.709617,-0.510451
59.000000,-2.592382,-67.314124,997.810435,-89.023308,178.213956,-0.225174
60.000000,-2.593211,-67.312531,999.468269,-90.699669,177.529932,-1.120038
61.000000,-2.594075,-67.310951,999.561037,-93.698075,176.460166,-0.485794
62.000000,-2.594959,-67.309367,995.547256,-96.231737,176.264081,2.306837
63.000000,-2.595868,-67.307805,992.566509,-98.876690,174.692738,2.721390
64.000000,-2.596797,-67.306268,990.506089,-101.278104,172.369828,2.306201
65.000000,-2.597732,-67.304729,994.702024,-102.652019,171.603265,-1.739951
66.000000,-2.598679,-67.303196,998.853474,-103.906660,170.943277,-3.243306
67.000000,-2.599636,-67.301674,998.671241,-105.123964,169.936883,-1.118261
68.000000,-2.600647,-67.300177,994.288819,-109.314754,167.792209,2.296701
69.000000,-2.601650,-67.298685,1002.471027,-110.253388,166.613829,-4.221462
70.000000,-2.602677,-67.297204,996.345119,-112.349426,165.468560,2.206284
71.000000,-2.603732,-67.295733,995.527302,-115.054522,164.270359,1.338833
72.000000,-2.604786,-67.294279,994.428485,-115.980790,162.702842,1.185318
73.000000,-2.605877,-67.292852,997.196531,-118.901892,160.246918,-1.276462
74.000000,-2.606979,-67.291428,997.037555,-120.748311,159.039848,-0.388492
75.000000,-2.608097,-67.290022,995.422859,-122.514263,157.402289,0.852412
76.000000,-2.609237,-67.288629,995.152364,-124.734688,155.896602,0.486365
77.000000,-2.610396,-67.287237,991.918154,-126.914867,155.239484,2.190104
78.000000,-2.611559,-67.285835,998.986115,-127.947457,155.623077,-3.569251
79.000000,-2.612733,-67.284469,998.921477,-129.106488,153.306984,-1.314716
80.000000,-2.613945,-67.283118,1002.360717,-132.205204,151.464900,-2.639736
81.000000,-2.615168,-67.281822,998.522483,-134.067046,146.930235,1.382795
82.000000,-2.616391,-67.280521,997.187048,-134.851534,145.517768,1.349093
83.000000,-2.617638,-67.279210,999.570934,-136.747678,145.672623,-0.975719
84.000000,-2.618924,-67.277937,995.226718,-140.148191,143.118093,2.326879
85.000000,-2.620189,-67.276664,996.993394,-139.983692,142.180000,-0.222045
86.000000,-2.621476,-67.275391,999.161274,-141.420006,141.859507,-1.435960
87.000000,-2.622760,-67.274119,999.627021,-141.829272,141.591023,-0.837215
88.000000,-2.624060,-67.272855,993.664170,-142.991583,140.985111,3.385432
89.000000,-2.625329,-67.271559,1003.513384,-141.384240,142.918765,-4.845803
90.000000,-2.626613,-67.270299,998.856050,-141.724141,141.176605,1.057157
